"","id","name","musicals","dates"
"1","39234","가희","위대한 캣츠비","2017.06.23 ~ 2017.09.03"
"2","39234","가희","로맨틱 머슬","2016.03.15 ~ 2016.05.01"
"3","39234","가희","빛골 아리랑 - 광주","2015.09.17 ~ 2015.09.18"
"4","39234","가희","사랑해 톤즈","2015.07.16 ~ 2015.07.19"
"5","39234","가희","런웨이 비트","2015.01.31 ~ 2015.02.08"
"6","39234","가희","카르멘","2013.12.03 ~ 2014.02.23"
"7","39234","가희","락 오브 에이지","2012.11.16 ~ 2013.02.03"
"8","28084","갑연","바울","2013.04.19 ~ 2013.09.01"
"9","28084","갑연","숨비소리 - 제주","2012.08.03 ~ 2012.09.23"
"10","28084","갑연","더 락","2012.01.25 ~ 2012.04.22"
"11","10927","강건","대장금","2008.09.05 ~ 2008.10.12"
"12","10","강경모","캣츠 - 대구","2009.05.01 ~ 2009.05.10"
"13","10","강경모","캣츠 - 광주","2009.04.21 ~ 2009.04.26"
"14","10","강경모","캣츠 - 고양","2009.04.03 ~ 2009.04.12"
"15","10","강경모","드라큘라","2006.04.22 ~ 2006.07.09"
"16","33192","강경석","연애를 부탁해","2015.05.13 ~ 2016.04.30"
"17","33192","강경석","담배가게 아가씨 - 수원","2015.05.08 ~ 2015.06.21"
"18","33192","강경석","담배가게 아가씨","2015.04.01 ~ 2015.08.02"
"19","33192","강경석","담배가게 아가씨","2014.11.21 ~ 2014.12.31"
"20","33192","강경석","담배가게 아가씨","2014.05.03 ~ 2015.03.29"
"21","33192","강경석","작업의 정석","2014.03.04 ~ 2014.12.31"
"22","33192","강경석","우연히 행복해지다 - 부산","2013.09.26 ~ 2014.01.26"
"23","33192","강경석","우연히 행복해지다","2013.08.23 ~ 2014.06.29"
"24","33192","강경석","작업의 정석","2012.06.29 ~ 오픈런"
"25","9245","강기둥","여신님이 보고 계셔","2017.09.26 ~ 2018.01.21"
"26","9245","강기둥","모범생들","2017.06.04 ~ 2017.08.27"
"27","9245","강기둥","큐","2016.05.10 ~ 2016.07.03"
"28","9245","강기둥","보도지침","2016.03.26 ~ 2016.06.12"
"29","9245","강기둥","안녕! 유에프오","2016.01.31 ~ 2016.02.14"
"30","9245","강기둥","첫번째 Intermission - 배리어프리콘서트 안녕! 유에프오","2016.01.11 ~ 2016.01.11"
"31","9245","강기둥","올모스트 메인","2016.01.08 ~ 2016.07.03"
"32","9245","강기둥","위대한 캣츠비 RE:BOOT","2015.11.07 ~ 2016.01.31"
"33","9245","강기둥","위대한 캣츠비 RE:BOOT 쇼케이스","2015.10.27 ~ 2015.10.27"
"34","9245","강기둥","모범생들","2015.09.04 ~ 2015.10.04"
"35","9245","강기둥","모범생들","2015.05.08 ~ 2015.08.02"
"36","9245","강기둥","슬픈 인연","2015.03.20 ~ 2015.04.05"
"37","9245","강기둥","달나라 연속극 - 대전","2014.12.24 ~ 2014.12.27"
"38","9245","강기둥","러브레터","2014.12.02 ~ 2015.02.15"
"39","9245","강기둥","로풍찬 유랑극장","2014.10.23 ~ 2014.11.02"
"40","9245","강기둥","도둑맞은 책","2014.08.29 ~ 2014.09.21"
"41","9245","강기둥","뺑뺑뺑","2014.06.19 ~ 2014.07.06"
"42","9245","강기둥","달나라 연속극","2014.03.06 ~ 2014.03.30"
"43","9245","강기둥","2013 봄 작가 겨울 무대 - 뒤주박죽","2013.11.05 ~ 2013.11.07"
"44","9245","강기둥","파인 땡큐 앤드 유","2013.06.13 ~ 2013.06.16"
"45","9245","강기둥","히스토리 보이즈","2013.03.08 ~ 2013.03.31"
"46","9245","강기둥","달나라 연속극","2013.01.03 ~ 2013.01.27"
"47","9245","강기둥","로풍찬 유랑극장","2012.10.11 ~ 2012.11.04"
"48","9245","강기둥","영원한 너","2012.07.04 ~ 2012.07.15"
"49","9245","강기둥","피크를 던져라","2008.07.23 ~ 2008.09.07"
"50","37200","강기섭","왕의 나라 - 안동","2015.10.23 ~ 2015.10.24"
"51","37200","강기섭","매의 아들","2015.10.10 ~ 2015.11.08"
"52","37200","강기섭","왕의 나라","2015.05.22 ~ 2015.05.23"
"53","37200","강기섭","두 도시 이야기","2014.06.25 ~ 2014.08.03"
"54","37200","강기섭","바울","2012.05.12 ~ 2012.06.10"
"55","37848","강기연","아브라소","2015.09.04 ~ 2015.10.04"
"56","13152","강다윗","두 드림 러브 - 부산","2009.03.20 ~ 2009.04.19"
"57","41817","강대규","빌리 엘리어트","2017.11.28 ~ 2018.05.07"
"58","41669","강대영","사랑을 이루어 드립니다","2017.12.08 ~ 2018.03.04"
"59","41669","강대영","사랑을 이루어 드립니다","2017.09.21 ~ 2017.11.26"
"60","41669","강대영","사랑을 이루어 드립니다","2017.07.20 ~ 2017.08.27"
"61","8342","강대윤","달을 품은 슈퍼맨","2014.08.01 ~ 2014.12.31"
"62","8342","강대윤","미스터 온조","2013.07.26 ~ 2013.09.01"
"63","8342","강대윤","더 초콜릿 - 부산","2012.11.23 ~ 2013.01.01"
"64","8342","강대윤","더 초콜릿 - 대전","2012.07.26 ~ 2012.08.26"
"65","8342","강대윤","더 초콜릿","2012.07.05 ~ 2012.09.02"
"66","8342","강대윤","바보 빅터","2011.10.21 ~ 2012.01.15"
"67","8342","강대윤","훈남들의 수다","2011.09.01 ~ 2012.01.01"
"68","8342","강대윤","찬스","2008.10.29 ~ 2008.12.28"
"69","8342","강대윤","진짜 진짜 좋아해","2008.10.25 ~ 2008.10.26"
"70","8342","강대윤","진짜 진짜 좋아해","2008.09.20 ~ 2008.09.21"
"71","8342","강대윤","진짜 진짜 좋아해","2008.06.13 ~ 2008.08.03"
"72","34741","강동석","담배가게 아가씨","2016.11.03 ~ 2017.01.29"
"73","34741","강동석","잭 더 리퍼","2016.07.15 ~ 2016.10.09"
"74","34741","강동석","쉬어매드니스","2015.11.12 ~ 2018.01.31"
"75","34741","강동석","작업의 정석","2015.09.03 ~ 2017.01.01"
